0.000100834 2.99975
0.000203355 2.99953
0.00030759 2.9993
0.000413569 2.99908
0.000521321 2.99885
0.000630875 2.99861
0.000742261 2.99838
0.000855511 2.99813
0.000970654 2.99788
0.00108772 2.99763
0.00120675 2.99738
0.00132777 2.99712
0.00145081 2.99685
0.00157591 2.99658
0.0017031 2.99631
0.00183242 2.99602
0.0019639 2.99574
0.00209758 2.99545
0.0022335 2.99515
0.00237169 2.99485
0.00251219 2.99455
0.00265504 2.99423
0.00280028 2.99392
0.00294794 2.99359
0.00309808 2.99326
0.00325072 2.99293
0.00340592 2.99259
0.00356372 2.99224
0.00372415 2.99188
0.00388726 2.99152
0.0040531 2.99116
0.00422172 2.99078
0.00439315 2.9904
0.00456745 2.99001
0.00474467 2.98962
0.00492484 2.98922
0.00510803 2.98881
0.00529428 2.98839
0.00548365 2.98796
0.00567617 2.98753
0.00587192 2.98709
0.00607094 2.98664
0.00627329 2.98618
0.00647902 2.98572
0.00668819 2.98524
0.00690085 2.98476
0.00711707 2.98427
0.0073369 2.98376
0.00756041 2.98325
0.00778765 2.98273
0.00801869 2.9822
0.00825359 2.98166
0.00849241 2.98111
0.00873523 2.98055
0.0089821 2.97998
0.0092331 2.97939
0.00948829 2.9788
0.00974775 2.97819
0.0100115 2.97758
0.0102797 2.97695
0.0105524 2.97631
0.0108297 2.97566
0.0111115 2.97499
0.0113981 2.97432
0.0116895 2.97362
0.0119857 2.97292
0.0122869 2.9722
0.0125931 2.97147
0.0129044 2.97073
0.0132209 2.96997
0.0135427 2.96919
0.0138699 2.9684
0.0142026 2.9676
0.0145408 2.96678
0.0148846 2.96595
0.0152342 2.96509
0.0155896 2.96422
0.015951 2.96334
0.0163184 2.96244
0.0166919 2.96152
0.0170717 2.96058
0.0174578 2.95962
0.0178504 2.95865
0.0182495 2.95765
0.0186552 2.95664
0.0190678 2.9556
0.0194872 2.95455
0.0199136 2.95348
0.0203472 2.95238
0.0207879 2.95126
0.0212361 2.95012
0.0216917 2.94896
0.0221549 2.94777
0.0226258 2.94657
0.0231046 2.94533
0.0235914 2.94408
0.0240863 2.94279
0.0245895 2.94149
0.025101 2.94015
0.0256211 2.93879
0.0261498 2.9374
0.0266874 2.93599
0.027234 2.93454
0.0277896 2.93307
0.0283545 2.93157
0.0289289 2.93004
0.0295128 2.92848
0.0301064 2.92688
0.0307099 2.92526
0.0313235 2.9236
0.0319474 2.9219
0.0325816 2.92018
0.0332264 2.91842
0.0338819 2.91662
0.0345483 2.91479
0.0352259 2.91292
0.0359147 2.91101
0.0366151 2.90906
0.037327 2.90708
0.0380509 2.90505
0.0387868 2.90299
0.0395349 2.90088
0.0402955 2.89873
0.0410688 2.89654
0.0418549 2.8943
0.0426542 2.89201
0.0434667 2.88968
0.0442927 2.88731
0.0451325 2.88488
0.0459863 2.88241
0.0468543 2.87988
0.0477367 2.87731
0.0486338 2.87468
0.0495458 2.872
0.050473 2.86927
0.0514156 2.86648
0.0523739 2.86363
0.0533481 2.86073
0.0543385 2.85777
0.0553453 2.85475
0.0563689 2.85166
0.0574095 2.84852
0.0584674 2.84531
0.0595429 2.84204
0.0606363 2.83871
0.0617478 2.8353
0.0628777 2.83183
0.0640264 2.82829
0.0651942 2.82468
0.0663814 2.821
0.0675883 2.81724
0.0688152 2.81341
0.0700625 2.8095
0.0713305 2.80552
0.0726195 2.80146
0.0739298 2.79732
0.075262 2.79309
0.0766162 2.78879
0.0779928 2.7844
0.0793923 2.77992
0.080815 2.77536
0.0822612 2.77071
0.0837314 2.76597
0.085226 2.76113
0.0867453 2.75621
0.0882897 2.75119
0.0898598 2.74607
0.0914558 2.74086
0.0930783 2.73555
0.0947275 2.73014
0.0964041 2.72462
0.0981084 2.71901
0.0998409 2.71329
0.101602 2.70746
0.103392 2.70152
0.105212 2.69548
0.107062 2.68932
0.108943 2.68305
0.110854 2.67667
0.112797 2.67017
0.114772 2.66356
0.11678 2.65682
0.118821 2.64997
0.120896 2.643
0.123004 2.63591
0.125148 2.62869
0.127327 2.62134
0.129542 2.61387
0.131793 2.60628
0.134081 2.59855
0.136408 2.59069
0.138772 2.58271
0.141175 2.57459
0.143618 2.56633
0.146101 2.55795
0.148625 2.54942
0.15119 2.54076
0.153798 2.53197
0.156448 2.52303
0.159142 2.51396
0.16188 2.50475
0.164664 2.49539
0.167492 2.4859
0.170368 2.47627
0.17329 2.46649
0.17626 2.45657
0.179279 2.44651
0.182347 2.4363
0.185466 2.42596
0.188636 2.41547
0.191857 2.40483
0.195132 2.39406
0.198459 2.38314
0.201842 2.37208
0.205279 2.36088
0.208773 2.34954
0.212324 2.33806
0.215932 2.32644
0.2196 2.31468
0.223327 2.30279
0.227115 2.29076
0.230965 2.27859
0.234877 2.26629
0.238853 2.25386
0.242894 2.2413
0.247001 2.22861
0.251174 2.21579
0.255415 2.20285
0.259725 2.18979
0.264105 2.17661
0.268557 2.16331
0.27308 2.1499
0.277676 2.13638
0.282347 2.12275
0.287094 2.10902
0.291917 2.09518
0.296819 2.08124
0.301799 2.06721
0.306861 2.05309
0.312003 2.03889
0.317229 2.0246
0.322539 2.01023
0.327935 1.99579
0.333418 1.98128
0.338988 1.9667
0.344649 1.95206
0.3504 1.93737
0.356244 1.92263
0.362182 1.90784
0.368214 1.89302
0.374344 1.87815
0.380572 1.86327
0.386899 1.84835
0.393328 1.83342
0.39986 1.81849
0.406495 1.80354
0.413237 1.7886
0.420086 1.77366
0.427045 1.75874
0.434114 1.74383
0.441296 1.72895
0.448592 1.71411
0.456004 1.6993
