   0.00000E+00  1.00000E-35  1.00000E-35
   2.25213E-03  8.97293E-05  3.98420E-02
   2.58991E-03  1.03187E-04  3.98421E-02
   2.97834E-03  1.18663E-04  3.98421E-02
   3.42501E-03  1.36459E-04  3.98422E-02
   3.93867E-03  1.56925E-04  3.98423E-02
   4.52934E-03  1.80458E-04  3.98425E-02
   5.20856E-03  2.07520E-04  3.98426E-02
   5.98962E-03  2.38640E-04  3.98429E-02
   6.88776E-03  2.74424E-04  3.98432E-02
   7.92052E-03  3.15573E-04  3.98436E-02
   9.10807E-03  3.62890E-04  3.98441E-02
   1.04736E-02  4.17298E-04  3.98448E-02
   1.20437E-02  4.79859E-04  3.98458E-02
   1.38490E-02  5.51795E-04  3.98470E-02
   1.59248E-02  6.34509E-04  3.98487E-02
   1.83113E-02  7.29613E-04  3.98508E-02
   2.10552E-02  8.38963E-04  3.98537E-02
   2.42098E-02  9.64689E-04  3.98575E-02
   2.78363E-02  1.10924E-03  3.98625E-02
   3.20052E-02  1.27544E-03  3.98692E-02
   3.67974E-02  1.46652E-03  3.98779E-02
   4.23056E-02  1.68621E-03  3.98895E-02
   4.86363E-02  1.93879E-03  3.99049E-02
   5.59119E-02  2.22919E-03  3.99251E-02
   6.42724E-02  2.56309E-03  3.99519E-02
   7.38785E-02  2.94704E-03  3.99872E-02
   8.49144E-02  3.38859E-03  4.00339E-02
   9.75911E-02  3.89646E-03  4.00956E-02
   1.12150E-01  4.48078E-03  4.01770E-02
   1.28867E-01  5.15330E-03  4.02845E-02
   1.48058E-01  5.92773E-03  4.04265E-02
   1.70083E-01  6.82015E-03  4.06138E-02
   1.95354E-01  7.84955E-03  4.08611E-02
   2.24339E-01  9.03852E-03  4.11875E-02
   2.57571E-01  1.04142E-02  4.16182E-02
   2.95655E-01  1.20098E-02  4.21867E-02
   3.39278E-01  1.38661E-02  4.29373E-02
   3.89218E-01  1.60346E-02  4.39284E-02
   4.46352E-01  1.85808E-02  4.52375E-02
   5.11667E-01  2.15906E-02  4.69655E-02
   5.86274E-01  2.51775E-02  4.92419E-02
   6.71413E-01  2.94940E-02  5.22243E-02
   7.68467E-01  3.47462E-02  5.60812E-02
   8.78973E-01  4.12079E-02  6.09295E-02
   1.00463E+00  4.92241E-02  6.66550E-02
   1.14728E+00  5.91668E-02  7.25185E-02
   1.30898E+00  7.12777E-02  7.67036E-02
   1.49192E+00  8.53844E-02  7.65652E-02
   1.69846E+00  1.00565E-01  6.88015E-02
   1.93113E+00  1.14271E-01  4.73608E-02
   2.19257E+00  1.23020E-01  1.97321E-02
   2.48558E+00  1.24549E-01 -8.69693E-03
   2.81300E+00  1.17126E-01 -3.57471E-02
   3.17774E+00  9.95731E-02 -5.93279E-02
   3.58272E+00  7.16078E-02 -7.73913E-02
   4.03080E+00  3.41707E-02 -8.82027E-02
   4.52476E+00 -1.03634E-02 -9.06211E-02
   5.06722E+00 -5.81778E-02 -8.43388E-02
   5.66059E+00 -1.04278E-01 -7.00234E-02
   6.30704E+00 -1.43042E-01 -4.93125E-02
   7.00846E+00 -1.69013E-01 -2.46397E-02
   7.76639E+00 -1.77785E-01  1.09370E-03
   8.58202E+00 -1.66828E-01  2.49459E-02
   9.45619E+00 -1.36034E-01  4.43761E-02
   1.03894E+01 -8.78558E-02  5.76083E-02
   1.13817E+01 -2.69817E-02  6.38434E-02
   1.24329E+01  4.03948E-02  6.32832E-02
   1.35425E+01  1.07546E-01  5.69770E-02
   1.47096E+01  1.68219E-01  4.65417E-02
   1.59332E+01  2.17469E-01  3.38280E-02
   1.72121E+01  2.52185E-01  2.06077E-02
