   0.0000000000000000          0.0000000000000000     
   2.2243784470438177E-005     3.0214977402035967E-004
   4.4982354888443770E-005     6.1077043399172012E-004
   6.8226717165993482E-005     9.2599479422843299E-004
   9.1988122028197538E-005     1.2479581315533079E-003
   1.1627807045887120E-004     1.5767982185289910E-003
   1.4110831926723508E-004     1.9126553564983379E-003
   1.6649088677843957E-004     2.2556724083903270E-003
   1.9243805865066946E-004     2.6059948312454834E-003
   2.1896239382164268E-004     2.9637707084120397E-003
   2.4607673058738076E-004     3.3291507813616957E-003
   2.7379419281619482E-004     3.7022884810695958E-003
   3.0212819630089419E-004     4.0833399589023725E-003
   3.3109245525229166E-004     4.4724641169525403E-003
   3.6070098893715009E-004     4.8698226377557018E-003
   3.9096812846378020E-004     5.2755800133230061E-003
   4.2190852371857732E-004     5.6899035734177660E-003
   4.5353715045685244E-004     6.1129635130014598E-003
   4.8586931755138958E-004     6.5449329187694917E-003
   5.1892067440223997E-004     6.9859877946958047E-003
   5.5270721851133592E-004     7.4363070864964329E-003
   5.8724530322559580E-004     7.8960727049221541E-003
   6.2255164565226131E-004     8.3654695477832601E-003
   6.5864333475030516E-004     8.8446855206052652E-003
   6.9553783960181990E-004     9.3339115558092305E-003
   7.3325301786739496E-004     9.8333416303052739E-003
   7.7180712442957407E-004     1.0343172781382172E-002
   8.1121882022857261E-004     1.0863605120770352E-002
   8.5150718129453824E-004     1.1394841846749732E-002
   8.9269170798072259E-004     1.1937089254167504E-002
   9.3479233440203150E-004     1.2490556742224806E-002
   9.7782943808352599E-004     1.3055456819884320E-002
   1.0218238498235443E-003     1.3632005108744192E-002
   1.0667968637762108E-003     1.4220420343216286E-002
   1.1127702477582266E-003     1.4820924367839418E-002
   1.1597662537849145E-003     1.5433742131550587E-002
   1.2078076288406323E-003     1.6059101678729017E-002
   1.2569176258887529E-003     1.6697234136819707E-002
   1.3071200151265555E-003     1.7348373700334454E-002
   1.3584390954904648E-003     1.8012757611019482E-002
   1.4108997064172096E-003     1.8690626133969501E-002
   1.4645272398665968E-003     1.9382222529458495E-002
   1.5193476526117133E-003     2.0087793020247685E-002
   1.5753874788025130E-003     2.0807586754120744E-002
   1.6326738428088616E-003     2.1541855761385991E-002
   1.6912344723492619E-003     2.2290854907074085E-002
   1.7510977119116131E-003     2.3054841837548648E-002
   1.8122925364724906E-003     2.3834076921235497E-002
   1.8748485655216071E-003     2.4628823183164155E-002
   1.9387960773982176E-003     2.5439346233002865E-002
   2.0041660239464324E-003     2.6265914186255564E-002
   2.0709900454965106E-003     2.7108797578276167E-002
   2.1393004861793965E-003     2.7968269270741652E-002
   2.2091304095819128E-003     2.8844604350211925E-002
   2.2805136147501823E-003     2.9738080018389557E-002
   2.3534846525490238E-003     3.0648975473678227E-002
   2.4280788423852468E-003     3.1577571783623026E-002
   2.5043322893029333E-003     3.2524151747800725E-002
   2.5822819014589852E-003     3.3488999750711616E-002
   2.6619654079873900E-003     3.4472401604208738E-002
   2.7434213772608617E-003     3.5474644378982914E-002
   2.8266892355586835E-003     3.6496016224605486E-002
   2.9118092861497970E-003     3.7536806177612750E-002
   2.9988227288003724E-003     3.8597303957098150E-002
   3.0877716797152975E-003     3.9677799747260378E-002
   3.1786991919232465E-003     4.0778583966336497E-002
   3.2716492761151817E-003     4.1899947021330701E-002
   3.3666669219463907E-003     4.3042179047929605E-002
   3.4637981198123577E-003     4.4205569634975704E-002
   3.5630898831090123E-003     4.5390407532850903E-002
   3.6645902709881249E-003     4.6596980345101416E-002
   3.7683484116188878E-003     4.7825574202615691E-002
   3.8744145259668955E-003     4.9076473419646105E-002
   3.9828399521020770E-003     5.0349960130944470E-002
   4.0936771700473230E-003     5.1646313909260951E-002
   4.2069798271798485E-003     5.2965811362434945E-002
   4.3228027641975574E-003     5.4308725709285570E-002
   4.4412020416630203E-003     5.5675326333488658E-002
   4.5622349671378811E-003     5.7065878314606459E-002
   4.6859601229208318E-003     5.8480641935415544E-002
   4.8124373944025871E-003     5.9919872164658154E-002
   4.9417279990515948E-003     6.1383818114321864E-002
   5.0738945160444656E-003     6.2872722470533368E-002
   5.2090009165555364E-003     6.4386820897132144E-002
   5.3471125947201518E-003     6.5926341410971798E-002
   5.4882963992867106E-003     6.7491503727978450E-002
   5.6326206659727644E-003     6.9082518578978680E-002
   5.7801552505408376E-003     7.0699586994292601E-002
   5.9309715626099779E-003     7.2342899556073426E-002
   6.0851426002194115E-003     7.4012635617359740E-002
   6.2427429851610126E-003     7.5708962486794484E-002
   6.4038489990977101E-003     7.7432034577953321E-002
