   0.00000000D+00   0.00000000D+00
   6.00582181D-06   7.93258484D-05
   1.21452358D-05   1.60398477D-04
   1.84212136D-05   2.43255945D-04
   2.48367929D-05   3.27937124D-04
   3.13950790D-05   4.14481712D-04
   3.80992462D-05   5.02930253D-04
   4.49525394D-05   5.93324149D-04
   5.19582758D-05   6.85705684D-04
   5.91198463D-05   7.80118036D-04
   6.64407173D-05   8.76605298D-04
   7.39244321D-05   9.75212495D-04
   8.15746130D-05   1.07598560D-03
   8.93949629D-05   1.17897157D-03
   9.73892670D-05   1.28421833D-03
   1.05561395D-04   1.39177483D-03
   1.13915301D-04   1.50169104D-03
   1.22455031D-04   1.61401798D-03
   1.31184716D-04   1.72880775D-03
   1.40108582D-04   1.84611352D-03
   1.49230949D-04   1.96598959D-03
   1.58556232D-04   2.08849138D-03
   1.68088944D-04   2.21367547D-03
   1.77833700D-04   2.34159963D-03
   1.87795217D-04   2.47232280D-03
   1.97978315D-04   2.60590517D-03
   2.08387924D-04   2.74240816D-03
   2.19029081D-04   2.88189446D-03
   2.29906939D-04   3.02442807D-03
   2.41026761D-04   3.17007429D-03
   2.52393930D-04   3.31889976D-03
   2.64013948D-04   3.47097250D-03
   2.75892439D-04   3.62636192D-03
   2.88035153D-04   3.78513884D-03
   3.00447967D-04   3.94737552D-03
   3.13136889D-04   4.11314571D-03
   3.26108060D-04   4.28252464D-03
   3.39367759D-04   4.45558906D-03
   3.52922404D-04   4.63241730D-03
   3.66778556D-04   4.81308923D-03
   3.80942921D-04   4.99768635D-03
   3.95422355D-04   5.18629178D-03
   4.10223866D-04   5.37899033D-03
   4.25354619D-04   5.57586846D-03
   4.40821938D-04   5.77701439D-03
   4.56633308D-04   5.98251807D-03
   4.72796382D-04   6.19247124D-03
   4.89318985D-04   6.40696743D-03
   5.06209113D-04   6.62610202D-03
   5.23474941D-04   6.84997228D-03
   5.41124826D-04   7.07867734D-03
   5.59167312D-04   7.31231831D-03
   5.77611131D-04   7.55099821D-03
   5.96465211D-04   7.79482208D-03
   6.15738676D-04   8.04389700D-03
   6.35440856D-04   8.29833206D-03
   6.55581287D-04   8.55823849D-03
   6.76169718D-04   8.82372958D-03
   6.97216113D-04   9.09492083D-03
   7.18730660D-04   9.37192987D-03
   7.40723772D-04   9.65487656D-03
   7.63206094D-04   9.94388302D-03
   7.86188507D-04   1.02390736D-02
