5	1.54	2.3
7	2.16	3.11
10	3.02	4.15
15	4.27	5.46
20	5.27	6.38
30	6.57	7.48
50	7.49	8.14
70	7.43	8
100	6.84	7.4
150	5.8	6.35
200	4.99	5.5
300	3.91	4.33
500	2.77	3.06
700	2.17	2.39
1000	1.66	1.81
1500	1.22	1.31
2000	0.97	1.04
3000	0.7	0.741
5000	0.461	0.481

