9           15.05       8.21393     0.6978      64.61
16          27.84       17.31935    1.767       66.26
25          35.66       25.47232    3.145       65.08
36          38.99       31.2556     4.582       61.87
49          39.33       34.62346    5.91        57.74
64          38.05       36.07119    7.051       53.35
81          35.93       36.1931     7.954       48.97
100         33.25       35.01968    8.579       45.1
144         27.76       30.7908     9.157       37.63
196         23.02       26.27238    9.316       32.3
225         21.02       24.24557    9.353       30.26
400         14.01       16.83932    9.54        22.75
506.25      11.79       14.36295    9.644       20.27
625         10.05       12.41233    9.745       18.26
998.56      6.939       8.88445     9.982       14.49
1998.09     4.001       5.32458     10.28       10.28
2997.5625   2.838       3.88447     10.38       8.393
4000.5625   2.248       3.10423     10.4        7.276
4998.49     1.865       2.60057     10.39       6.505
6997.3225   1.402       1.97729     10.35       5.494
10000       1.033       1.47058	10.29       4.608

