693         11.96       A
701.8       11.83       A
791         10.98       A
801.7       10.65       A
891.8       10.09       A
903.2       10.04       A
989.4       9.27       A
1001.9      9.19       A
1088.8      8.67       A
1103.4      8.57       A
1184.7      8.13       A
1200.9      8.07       A
1286.5      7.66       A
1303.3      7.58       A
1403.4      7.14       A
1420.7      7.07       A
1505.4      6.77       A
1523.6      6.71       A
1603.5      6.46       A
1623.4      6.32       A
1705.1      6.16       A
1725.9      6.11       A
1803.2      5.9       A
1824.9      5.85       A
1903.8      5.64       A
1927        5.58       A
2002.3      5.43       A
2027.2      5.38       A
2103.4      5.25       A
2129.6      5.15       A

474.779     14.957      D
594.717     13.042      D
660.537     12.32      D
761.026     11.048      D
893.175     9.57      D
1009.658    9.121      D
1235.066    7.951      D
1484.503    6.849      D
1689.778    6.214      D
1917.518    5.669      D
2105.372    5.262      D
2345.33     4.971      D
2537.346    4.599      D
2762.064    4.207      D
2943.178    3.96      D
3143.999    3.816      D
3338.268    3.699      D
4421.258    2.873      D

38.1        34.21       F
59.7        36.35       F
85          39.34       F
104.8	      37.95       F
127.1       36.41       F
142         33.19       F
162.3       31.1       F
179.4       28.8       F
202         27.12       F
220.9       25.79       F

70          39.5        G
74          39.5        G
88          39.3        G
90          39.3        G
109         37.4        G
112         37.1        G
160         32        G
164         31.7        G
216         26.4        G
221         26        G
262         23.5        G
272         23        G


