2.000D-01   7.522D+02  2.802D+01
3.464D-01   6.865D+02  6.256D+01
4.000D-01   6.200D+02  6.081D+01
5.657D-01   4.465D+02  4.537D+01
6.928D-01   3.539D+02  3.469D+01
8.000D-01   2.959D+02  2.788D+01
8.944D-01   2.559D+02  2.327D+01
1.000D+00   2.201D+02  1.925D+01
1.200D+00   1.705D+02  1.395D+01
1.414D+00   1.343D+02  1.032D+01
1.732D+00   9.909D+01  7.049D+00
2.000D+00   7.940D+01  5.354D+00
2.449D+00   5.773D+01  3.619D+00
2.828D+00   4.583D+01  2.733D+00
3.162D+00   3.823D+01  2.197D+00
3.464D+00   3.291D+01  1.836D+00
3.742D+00   2.897D+01  1.577D+00
4.000D+00   2.591D+01  1.383D+00
4.472D+00   2.147D+01  1.110D+00
